index,home_fg,home_fga,home_fg_pct,home_fg3,home_fg3a,home_fg3_pct,home_ft,home_fta,home_ft_pct,home_orb,home_drb,home_trb,home_ast,home_stl,home_blk,home_tov,home_pf,home_pts,away_fg,away_fga
home_fg,1.0,0.42885878699351404,0.7985959700931108,0.31697032155058297,-0.06378545192723258,0.46439576552486495,-0.19646301362929736,-0.20381200196719068,-0.0025746806206726268,0.053800903751431664,0.13688218113100636,0.14222877950577362,0.638985930977069,0.07443661689302514,0.07165705284518897,-0.11787128724508847,0.0499164938361015,0.849155566619591,0.15324247233549404,0.19461409309382732
home_fga,0.42885878699351404,1.0,-0.19649626837630135,0.074908320088317,0.23051596277775602,-0.09599867052540183,-0.2716714744617555,-0.2629930303721033,-0.055826803020674845,0.5713226675723289,0.13835823181471896,0.43611908077030986,0.17270297823085676,0.17707181111054854,0.08279285336091653,-0.29211160156012755,0.01174938765834131,0.25606146861532586,0.15382807381401373,0.18439196091736118
home_fg_pct,0.7985959700931108,-0.19649626837630135,1.0,0.2928334499304482,-0.22315670237492338,0.5687223333193521,-0.02992245716861432,-0.04434193841269001,0.0357814803195533,-0.31589754066907433,0.05509538436922487,-0.13365560410787738,0.5778999131342295,-0.03755847495303084,0.023360637451874555,0.06933728333479464,0.047877044839480805,0.7508639173807736,0.06739150612083045,0.09027143954395807
home_fg3,0.31697032155058297,0.074908320088317,0.2928334499304482,1.0,0.6603880450979424,0.7493962014698059,-0.1476130701919422,-0.17900417959264361,0.05025765976316408,-0.07855724584484124,0.08629142045761751,0.026052398840959497,0.41770604703562697,-0.018515093671172034,0.006079324063614277,-0.02082329956498199,0.052887136851670166,0.5071519825275016,-0.009269894387128028,0.05045632302566478
home_fg3a,-0.06378545192723258,0.23051596277775602,-0.22315670237492338,0.6603880450979424,1.0,0.021846260778571668,-0.14814939725710038,-0.16178204817014322,0.0060909832956289505,0.09364670231072444,0.054117755557900465,0.09716385517979657,0.11281103674038526,0.031275657520570245,-0.009747170188913159,-0.04112472390932582,0.05283526123769464,0.080163466131458,-0.021420531562500855,0.02560897536746759
home_fg3_pct,0.46439576552486495,-0.09599867052540183,0.5687223333193521,0.7493962014698059,0.021846260778571668,1.0,-0.06851019298602665,-0.09905288936483324,0.061139061942800374,-0.18288636956444349,0.05923171260683868,-0.05505262636001929,0.4487492422130015,-0.04727167127265389,0.01616451119123005,0.008943139792883687,0.033667089098145524,0.5916813751961456,0.005761395079845498,0.040590749658312934
home_ft,-0.19646301362929736,-0.2716714744617555,-0.02992245716861432,-0.1476130701919422,-0.14814939725710038,-0.06851019298602665,1.0,0.9303687342050411,0.3211592585063141,0.014259680696183025,0.000905850821841695,0.00880444421135154,-0.15933003905024676,-0.0005583079403710081,0.0031852273871630895,0.009461857265302754,0.2002839423474016,0.2643360591651198,0.13107964540304826,0.08925972164816841
home_fta,-0.20381200196719068,-0.2629930303721033,-0.04434193841269001,-0.17900417959264361,-0.16178204817014322,-0.09905288936483324,0.9303687342050411,1.0,-0.026789147501933463,0.04401021211350053,0.014912949525154874,0.03707049080013585,-0.17321000534119838,0.010837318420328293,0.004208125171263829,0.024465047913382408,0.20446681038813544,0.2152648270046992,0.141359713957863,0.11096693820465776
home_ft_pct,-0.0025746806206726268,-0.055826803020674845,0.0357814803195533,0.05025765976316408,0.0060909832956289505,0.061139061942800374,0.3211592585063141,-0.026789147501933463,1.0,-0.06706612411951979,-0.029862870193841422,-0.06232046328507113,0.013389260626871851,-0.03308565907866895,-0.01653415728630023,-0.04465453183569931,0.017759389377620716,0.16625357326584883,-0.003084669501415041,-0.03777986775410883
home_orb,0.053800903751431664,0.5713226675723289,-0.31589754066907433,-0.07855724584484124,0.09364670231072444,-0.18288636956444349,0.014259680696183025,0.04401021211350053,-0.06706612411951979,1.0,0.014109074776331429,0.577074430279126,-0.06568185432591575,0.07216685365809446,0.0360194373405424,-0.019232360743959846,-0.023249508254029067,0.027889676253059895,0.018164742092399076,0.007320571477798229
home_drb,0.13688218113100636,0.13835823181471896,0.05509538436922487,0.08629142045761751,0.054117755557900465,0.05923171260683868,0.000905850821841695,0.014912949525154874,-0.029862870193841422,0.014109074776331429,1.0,0.8247522531033373,0.10236598880339398,-0.13478117832974928,0.13901811724764743,0.14321110253234315,0.0010961572571533112,0.142754008848918,-0.40267904254182285,0.36550341541495807
home_trb,0.14222877950577362,0.43611908077030986,-0.13365560410787738,0.026052398840959497,0.09716385517979657,-0.05505262636001929,0.00880444421135154,0.03707049080013585,-0.06232046328507113,0.577074430279126,0.8247522531033373,1.0,0.04646335435898674,-0.06927160661705682,0.1339170365615539,0.10609406994850708,-0.012253460008429739,0.1323706208056522,-0.3186242332872352,0.3026734224178129
home_ast,0.638985930977069,0.17270297823085676,0.5778999131342295,0.41770604703562697,0.11281103674038526,0.4487492422130015,-0.15933003905024676,-0.17321000534119838,0.013389260626871851,-0.06568185432591575,0.10236598880339398,0.04646335435898674,1.0,0.06835380850572358,0.06370037859770221,-0.007428324440075112,0.04238002014632254,0.5931582578234682,0.02635132937309496,0.08840667229343853
home_stl,0.07443661689302514,0.17707181111054854,-0.03755847495303084,-0.018515093671172034,0.031275657520570245,-0.04727167127265389,-0.0005583079403710081,0.010837318420328293,-0.03308565907866895,0.07216685365809446,-0.13478117832974928,-0.06927160661705682,0.06835380850572358,1.0,0.06575107723101312,0.056676388761976004,-0.002062191825077741,0.056860467268650204,-0.13239960098540926,-0.21100891828529383
home_blk,0.07165705284518897,0.08279285336091653,0.023360637451874555,0.006079324063614277,-0.009747170188913159,0.01616451119123005,0.0031852273871630895,0.004208125171263829,-0.01653415728630023,0.0360194373405424,0.13901811724764743,0.1339170365615539,0.06370037859770221,0.06575107723101312,1.0,0.06858640359512194,0.051206692431287816,0.06391265749660995,-0.09268443008363353,0.2885943055407328
home_tov,-0.11787128724508847,-0.29211160156012755,0.06933728333479464,-0.02082329956498199,-0.04112472390932582,0.008943139792883687,0.009461857265302754,0.024465047913382408,-0.04465453183569931,-0.019232360743959846,0.14321110253234315,0.10609406994850708,-0.007428324440075112,0.056676388761976004,0.06858640359512194,1.0,0.149420338345038,-0.10148718294506533,0.07378489387792203,0.20111703826785238
home_pf,0.0499164938361015,0.01174938765834131,0.047877044839480805,0.052887136851670166,0.05283526123769464,0.033667089098145524,0.2002839423474016,0.20446681038813544,0.017759389377620716,-0.023249508254029067,0.0010961572571533112,-0.012253460008429739,0.04238002014632254,-0.002062191825077741,0.051206692431287816,0.149420338345038,1.0,0.15386351428255018,-0.15907090378823155,-0.12462056276451891
home_pts,0.849155566619591,0.25606146861532586,0.7508639173807736,0.5071519825275016,0.080163466131458,0.5916813751961456,0.2643360591651198,0.2152648270046992,0.16625357326584883,0.027889676253059895,0.142754008848918,0.1323706208056522,0.5931582578234682,0.056860467268650204,0.06391265749660995,-0.10148718294506533,0.15386351428255018,1.0,0.1889301287156341,0.22246227254804415
away_fg,0.15324247233549404,0.15382807381401373,0.06739150612083045,-0.009269894387128028,-0.021420531562500855,0.005761395079845498,0.13107964540304826,0.141359713957863,-0.003084669501415041,0.018164742092399076,-0.40267904254182285,-0.3186242332872352,0.02635132937309496,-0.13239960098540926,-0.09268443008363353,0.07378489387792203,-0.15907090378823155,0.1889301287156341,1.0,0.4278986000529675
away_fga,0.19461409309382732,0.18439196091736118,0.09027143954395807,0.05045632302566478,0.02560897536746759,0.040590749658312934,0.08925972164816841,0.11096693820465776,-0.03777986775410883,0.007320571477798229,0.36550341541495807,0.3026734224178129,0.08840667229343853,-0.21100891828529383,0.2885943055407328,0.20111703826785238,-0.12462056276451891,0.22246227254804415,0.4278986000529675,1.0
away_fg_pct,0.0390163371328465,0.046053675307746775,0.014255939675383545,-0.042267426650157536,-0.038740120569032366,-0.02050111361345685,0.08601084755495379,0.08226223506569175,0.02309338873035999,0.01701135263896574,-0.6750529488624677,-0.5417441473434927,-0.028548667607008714,-0.006833127578811416,-0.28600846843127586,-0.04982094772931232,-0.09123241057598826,0.0607956506888236,0.8066356554692587,-0.18481354852505893
away_fg3,0.03079225326968695,0.06459820710079428,-0.008117004098500772,0.035765427770863424,0.08262079713155022,-0.02496033750166805,0.06941145461663473,0.06676638615372266,0.012398656810048928,0.03522810800785066,-0.17326513481331057,-0.12159498460652607,0.049661597980505415,-0.03818045041195136,-0.1175222353792258,-0.010146774677106556,-0.17151183166269932,0.07011906963103577,0.36264021781753075,0.07210527309592461
away_fg3a,0.047247733216287016,0.04258924767413558,0.021570686933070314,0.12569512194832275,0.14953497608739694,0.03214920434302434,0.03348641062503175,0.035725543460898304,-0.002188096472267117,0.019948174926508733,0.21363885074173372,0.185776115531428,0.08294644518563714,-0.04537527178260165,-0.09472704813372057,0.05724117010865517,-0.138897558875941,0.09477057866099249,0.015555338526756992,0.2530832779599645
away_fg3_pct,0.00408100089723061,0.05092710650111001,-0.02617442083217081,-0.05134711101885202,-0.01077701117042792,-0.05595008956091739,0.06635404535659367,0.06160421013977353,0.014991467708475469,0.030496960030997083,-0.3936462661623334,-0.30427201442388724,0.0021643843909768643,-0.014455369153361357,-0.07636517664165486,-0.061882065928493206,-0.11515500865157341,0.01912484879084771,0.4565471627081579,-0.11024217863990994
away_ft,0.10708123350945352,0.09590462097555466,0.05367152249732258,0.030887807409060483,0.0217034429769694,0.030637145759412898,0.18928181446372033,0.18981113006597158,0.03150774809446305,-0.03052116584990659,-0.08207938264554888,-0.0843014732346371,0.06817489531714252,-0.053566905228755846,0.03313716244487177,0.02507809455775766,0.6951708642800719,0.19008796057061145,-0.14496097385620813,-0.18231243518901702
away_fta,0.11253640817460317,0.09906073505774356,0.05681852436696985,0.04606162788060616,0.036273093674297416,0.03853631747027114,0.19821415550648167,0.20200344986464186,0.021934979119434397,-0.017427325485880243,-0.018626640708617335,-0.025069767583265408,0.07889343945290489,-0.026914847849880952,0.04678857126758384,0.03706419709379069,0.7653082231451939,0.20364613516154706,-0.1754784896588195,-0.1931203128086901
away_ft_pct,0.004275874146489467,0.015780779109507263,-0.0033067075690161813,-0.03508254522230303,-0.02852967747063564,-0.020279091608497824,0.00502538876448342,-0.001570090084339501,0.02366171338910259,-0.02153215759998943,-0.15895706173918528,-0.14200933664533363,-0.01294153164226372,-0.07124236246588243,-0.02830398315863039,-0.015138072274360188,-0.06275197226480977,-0.004863366574313051,0.058536121255446674,0.009108050280169281
away_orb,-0.0041362938424302585,-0.040602004321555286,0.022939817709107378,0.0028615351323759233,0.000991690632567486,0.007302818899587089,0.005408623305835894,0.010439563656064521,-0.0077815198670050005,-0.029056651267383313,-0.06170836274505325,-0.06683472009459801,0.009213003930601883,-0.0015149415359725345,0.2801167780083479,0.03435939392086803,0.09990791414038347,-3.24152417059744e-05,0.009428708414689254,0.5237130887887016
away_drb,-0.41601733274796115,0.36153703160236617,-0.6918603408288206,-0.17850119909524867,0.21409930597120502,-0.4117845767679388,-0.11564044096462124,-0.04648488861751629,-0.189348608944101,-0.03906725124832822,0.04777865440959671,0.016929803842750637,-0.31791266375631644,0.11107220779037379,0.007735844282363369,-0.2515231770624854,-0.03511883278761823,-0.4616510570761466,0.06526345671731135,0.08853172023872614
away_trb,-0.3468264965830228,0.2762159661454315,-0.559795968470463,-0.14617077613159668,0.17784283380395838,-0.33680162986681483,-0.09266928868543985,-0.03253986389586774,-0.16121894228615996,-0.04891004035435185,0.00438887488240185,-0.024076384918393368,-0.25798544175549404,0.0911060449373583,0.16606667484878293,-0.18868093631056937,0.027866679312732553,-0.3822728039254969,0.05941335322017353,0.3718122269707996
away_ast,0.07292652101410364,0.09703705624585054,0.016483244114989536,-0.013260987341403983,0.0068147222441362265,-0.020722477476459635,0.08919899643631173,0.10452092439378478,-0.02688190188727973,0.044207506455786916,-0.29732507958330556,-0.21784547685336353,0.05029854903149883,-0.03422769169247871,-0.10944470922054872,0.07192197602021363,-0.12011861252801113,0.09993414855130409,0.6473954292780368,0.1928704314810926
away_stl,-0.06870820927138058,-0.18519253155513485,0.051222535551623476,-0.016206887918317387,-0.01262334314120675,-0.011876983316400936,-0.0369705188708611,-0.02679665214842138,-0.03946441738012832,-0.015215959045310947,0.07762556118535087,0.05479705793835387,0.006672578408059882,0.015688599835953432,0.05252542813123115,0.7567468614422376,0.009715828128454583,-0.08063993540544881,0.14640806524290645,0.19674438452020382
away_blk,-0.11336371233161893,0.23894731034213387,-0.2790234589739257,-0.13102569261582447,-0.10700027220571141,-0.0815520821088778,-0.02458669583023413,-0.0018179844506702428,-0.06927097212233688,0.1812992425680264,-0.0028658150675771182,0.1001931611162158,-0.11818674029827221,0.019847172271011296,0.06956744241249732,-0.024593991807981334,-0.0066010656925676895,-0.14801990293272344,0.014416399411367407,0.013706335726685073
away_tov,0.003891212164170816,0.15852329348895672,-0.10154373177008232,-0.02756273540462017,0.06609375909756754,-0.08909624095518437,0.00015010285130570813,0.014589449331396389,-0.04404326866433891,0.04319569173540067,-0.23275557564001598,-0.16567909088701263,0.032912606267536615,0.7499707613430945,0.05175321001311973,0.13742526697878948,0.07874068213776747,-0.005179555109000344,-0.17171229453547868,-0.30509454598203717
away_pf,-0.17469944059816458,-0.19581884309179354,-0.05661485110519234,-0.17443563084783337,-0.1280950619911581,-0.1145070984828481,0.7302143518828573,0.7877375060024316,-0.026109466708306526,0.03713162838220716,-0.04469421433844119,-0.015505209429203002,-0.1514527212495472,-0.029631063500858434,-0.0058905659181485645,0.07880585829622642,0.267206431774278,0.14599810080215375,0.09299575122693236,0.04165201871723528
away_pts,0.1828060332255699,0.18870973234111796,0.0766609770969089,0.017078358266791816,0.01741556278627376,0.010660070787469807,0.21294339849212487,0.22080728896788746,0.015256075914355863,0.012191443867446479,-0.42028920798458963,-0.33638594037769015,0.0671417356217024,-0.1442138311757145,-0.09749536730258498,0.06859945610628751,0.12518087788643184,0.2610216623401528,0.8681856098425141,0.2926093992636347